mode,tp,fp,fn,tn,precision,recall,f1,fpr,image_auroc,pixel_auroc,pixel_iou,shift_fpr,latency_ms_median,latency_ms_p95
global,61,1,2,19,0.9838709677419355,0.9682539682539683,0.976,0.05,0.9952380952380953,0.9798498583080925,0.5056425152711889,,45.81430000007458,73.11151999979302
spatial,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.996031746031746,0.9842064915328445,0.4846889231922599,,48.5156999998253,77.83044999991942
fusion,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.9968253968253968,0.9847660305888452,0.47998020292006927,,42.65220000024783,73.85795999994116
gated,61,1,2,19,0.9838709677419355,0.9682539682539683,0.976,0.05,0.9968253968253968,0.9843365441385798,0.4768973016605836,,42.21189999998387,72.93314999983522
