mode,tp,fp,fn,tn,precision,recall,f1,fpr,image_auroc,pixel_auroc,pixel_iou,shift_fpr,latency_ms_median,latency_ms_p95
global,61,1,2,19,0.9838709677419355,0.9682539682539683,0.976,0.05,0.9873015873015873,0.980086577449899,0.49568218208097276,,23.880600000211416,64.34612999973979
spatial,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.9968253968253968,0.9840220817334776,0.4183853174701328,,23.385599999983242,62.21944999983861
fusion,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.9968253968253968,0.9846772010525606,0.44328286659502286,,24.64800000007017,64.40858000009936
gated,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.996031746031746,0.984294943951912,0.4453472039678936,,23.883999999725347,62.88125000019134
