mode,tp,fp,fn,tn,precision,recall,f1,fpr,image_auroc,pixel_auroc,pixel_iou,shift_fpr,latency_ms_median,latency_ms_p95
global,62,2,1,18,0.96875,0.9841269841269841,0.9763779527559056,0.1,0.9968253968253968,0.9815061624862875,0.5144222115017677,,22.86690000028102,55.742290000034686
spatial,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.996031746031746,0.9839036355624436,0.47632885197030433,,23.413499999605847,61.14239999992605
fusion,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.9968253968253968,0.9847422472575866,0.46981593586153947,,22.99689999972543,62.52045000010183
gated,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.9968253968253968,0.9844094187798785,0.4766659122694011,,24.071200000435056,63.20953999997982
