mode,tp,fp,fn,tn,precision,recall,f1,fpr,image_auroc,pixel_auroc,pixel_iou,shift_fpr,latency_ms_median,latency_ms_p95
global,61,1,2,19,0.9838709677419355,0.9682539682539683,0.976,0.05,0.996031746031746,0.9801482357574323,0.507585136588893,,31.37139999989813,56.33289999991574
spatial,62,1,1,19,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.05,0.996031746031746,0.9842617523707617,0.48630498464165844,,31.732299999930547,57.581780000327846
fusion,61,1,2,19,0.9838709677419355,0.9682539682539683,0.976,0.05,0.9968253968253968,0.984876833187641,0.4826968851164743,,33.02450000001045,55.34463999993022
gated,61,1,2,19,0.9838709677419355,0.9682539682539683,0.976,0.05,0.9968253968253968,0.9844739170092026,0.4812178483232736,,29.80519999982789,64.24711000013302
